Age,Gender,Relationship,Occasion,Budget,MaxBudget,Gift,Rating,Link,Image Link,Interest
30,Male,For Him,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
10,Male,Kids,Birthday,500,2500,Decathlon Omni Flat 3% off at checkout E-Gift Card,4.6,https://www.amazon.in/dp/B099SRQBNS/ref=cm_gf_aaac_d_p0_e0_qd0_4SclQL4LLTf4fAMDm0lg,https://m.media-amazon.com/images/I/51ukgkR7zML._AC_SY164_.jpg,Sports
18,Male,Friend,Friendship day,250,2000,Steam Wallet E-Gift Card,4.2,https://www.amazon.in/dp/B0B2CRPSK4/ref=cm_gf_aaac_d_p0_e0_qd0_AGkqrPx7EqWntRuAdiuB,https://m.media-amazon.com/images/I/41ymMAARbIL._AC_SY164_.jpg,Sports
35,Female,Mother,Mother's Day,500,10000,Tanishq Gold Coin e-Gift Card,4.8,https://www.amazon.in/dp/B07QJLFFSZ/ref=cm_gf_aaac_d_p0_e0_qd0_cwHojCqCERMseyH6s0Bo,https://m.media-amazon.com/images/I/4111YXPF0OL._AC_SY164_.jpg,Fashion
21,Female,For Her,Christmas,1000,10000,Nykaa E-Gift Card - Flat 5% off - Redeemable Online,4.8,https://www.amazon.in/dp/B07BTN7LD8/ref=cm_gf_aaac_d_p0_e0_qd0_2oo4t8PiqY9qwdvpx8fU,https://m.media-amazon.com/images/I/411zn-8Nl5L._AC_SY164_.jpg,Fashion
48,Male,Son,New year,500,1000,Steam Wallet E-Gift Card,4.4,https://www.amazon.in/dp/B09NCK5T13/ref=cm_gf_aaac_d_p0_e0_qd0_xXVBXkLugUBqwDdyIBkb,https://m.media-amazon.com/images/I/41ymMAARbIL._AC_SY164_.jpg,Sports
28,Male,Son,Birthday,500,10000,World of Titan - Digital Voucher,4.6,https://www.amazon.in/dp/B07F1TTQGP/ref=cm_gf_aaac_d_p0_e0_qd0_NJRCmgP6684pyssFXhXa,https://m.media-amazon.com/images/I/41jMPOTzwDL._AC_SY164_.jpg,Technology
20,Male,Friend,Friendship day,59,1000,EPIC ON E-Gift Card - 1 Month Subscription,2,https://www.amazon.in/dp/B08P8K637K/ref=cm_gf_aaac_d_p0_e0_qd0_rZTMNeJg4th9wxoT52D3,https://m.media-amazon.com/images/I/41ehpLqsvRS._AC_SY164_.jpg,Movies
27,Male,For Her,New year,250,3000,Swiggy E-Gift Card - Redeemable On Swiggy App - Flat 6% cash back up to INR.180,4.4,https://www.amazon.in/dp/B0B2K8HLPG/ref=cm_gf_aaac_d_p0_e0_qd0_fT0wUhYPgfYb40MIUELc,https://m.media-amazon.com/images/I/41FAqBcgkvL._AC_SY164_.jpg,Food
38,Female,Wife,Anniversery,500,10000,Joyalukkas Gold E-Gift Card - Flat 2% off - Redeemable at Showroom,4.7,https://www.amazon.in/dp/B07VTW48Z2/ref=cm_gf_aaac_d_p0_e0_qd0_L6N3WkA4qFrbjNa2lOGj,https://m.media-amazon.com/images/I/51YegffcPgL._AC_SY164_.jpg,Fashion
22,Female,For Her,Birthday,1000,10000,PCJ Gold Coin - Digital Voucher,4.6,https://www.amazon.in/dp/B07DJ35HRL/ref=cm_gf_aaac_d_p0_e0_qd1_7U1tVLxVdzHpEUryrUlr,https://m.media-amazon.com/images/I/514RUx-USQL._AC_SY164_.jpg,Fashion
46,Female,Mother,Mother's Day,100,10000,Home Centre E-Gift Card - Redeemable at Stores - Flat 5% Off,4.8,https://www.amazon.in/dp/B07RSCRYHK/ref=cm_gf_aaac_d_p0_e0_qd1_GTdQeBRU0kvaYSCkCCOC,https://m.media-amazon.com/images/I/41Q8Bb-lHmL._AC_SY164_.jpg,Art
22,Male,For Him,Christmas,500,5000,FJack & Jones E-Gift Card,4.7,https://www.amazon.in/dp/B08TD6L8CQ/ref=cm_gf_aaac_d_p0_e0_qd1_To2JZYs6Gd1UNKK7SDds,https://m.media-amazon.com/images/I/41SVERMcB8L._AC_SY164_.jpg,Fashion
28,Male,Brother,New year,999,2000,SonyLIV E-Gift Card - Flat 25% off - Redeemable On App,4.8,https://www.amazon.in/dp/B08CFG6FBS/ref=cm_gf_aaac_d_p0_e0_qd1_fIsx1M4EcybwcCfd23qx,https://m.media-amazon.com/images/I/41QFkV9aniL._AC_SY164_.jpg,Movies
35,Male,Boss,Christmas,500,5000,Croma E-Gift Card - Redeemable at Stores & website,4.5,https://www.amazon.in/dp/B01BF7V3RA/ref=cm_gf_aaac_d_p0_e0_qd1_lG55q1eV1WquanVCZW6u,https://m.media-amazon.com/images/I/416yme0ljEL._AC_SY164_.jpg,Technology
30,Male,For Him,Birthday,100,10000,BookMyShow Digital Voucher - Flat 2% off - Redeemable Online,4.5,https://www.amazon.in/dp/B01ARPKYD0/ref=cm_gf_aaac_d_p0_e0_qd1_uVo01XDtaLaaziFoMrlg,https://m.media-amazon.com/images/I/41p4hQWgRIL._AC_SY164_.jpg,Movies
40,Female,Mother,Navaratri,10,10000,More E-Gift Card,4,https://www.amazon.in/dp/B07K72F479/ref=cm_gf_aaac_d_p0_e0_qd1_FEcKYglcEo01kCQc7gDe,https://m.media-amazon.com/images/I/51DhtlLaddL._AC_SY164_.jpg,Food
18,Female,Sister,Raksha Bandan,500,10000,Ratnadeep Retail E-Gift Card,3,https://www.amazon.in/dp/B07NVQHZ6L/ref=cm_gf_aaac_d_p0_e0_qd1_Cl4qh0dpIAAfJyGTxWM1,https://m.media-amazon.com/images/I/51SJhmpmyeL._AC_SY164_.jpg,Art
26,Female,For Her,Anniversery,500,5000,FONLY E-Gift Card,4.4,https://www.amazon.in/dp/B08T2V18QS/ref=cm_gf_aaac_d_p0_e0_qd2_imFFhxlPJJnzFyBV7SHT,https://m.media-amazon.com/images/I/41qb8TkV6uL._AC_SY164_.jpg,Fashion
45,Male,Father,Father's Day,1000,10000,MakeMyTrip - Flat 5% off - Redeemable Online,4.1,https://www.amazon.in/dp/B0186X91YS/ref=cm_gf_aaac_d_p0_e0_qd2_fvpyhmqW09QRKodRYLVm,https://m.media-amazon.com/images/I/41chNllQmtL._AC_SY164_.jpg,Travel
48,Male,Boss,Diwali,250,2000,Bata E-Gift Card - Flat 8% Off - Redeemable in Stores,4.5,https://www.amazon.in/dp/B01EST4R9S/ref=cm_gf_aaac_d_p0_e0_qd2_C2PEGcSYewZADZ3Ec8wW,https://m.media-amazon.com/images/I/51o2MY1l4aL._AC_SY164_.jpg,Fashion
32,Female,Sister,Birthday,100,10000,Pantaloons E-Gift Card - Flat 7% off - Redeemable on stores,4.6,https://www.amazon.in/dp/B01702S5AW/ref=cm_gf_aaac_d_p0_e0_qd2_MgIMiUlbzGmC1fz5ffMz,https://m.media-amazon.com/images/I/41MHS-kOU5L._AC_SY164_.jpg,Fashion
29,Female,For Her,Anniversery,500,10000,Shoppers Stop - Digital Voucher,4.3,https://www.amazon.in/dp/B016UT3BRI/ref=cm_gf_aaac_d_p0_e0_qd2_b8nI1tYRLHN3UXo5BK7G,https://m.media-amazon.com/images/I/41fCYnBbCkL._AC_SY164_.jpg,Shopping
23,Male,Brother,New year,500,2000,Dominos E-Gift Card - Flat 11% off - Redeemable Online,3.9,https://www.amazon.in/dp/B073ZH82X7/ref=cm_gf_aaac_d_p0_e0_qd2_gaU97GZzgMicnYTmNMaT,https://m.media-amazon.com/images/I/51BAn9f3wKL._AC_SY164_.jpg,Food
27,Female,Wife,Birthday,100,10000,Flipkart E Gift card - Redeemable online,4.2,https://www.amazon.in/dp/B0BG58MQPG/ref=cm_gf_aaac_d_p0_e0_qd2_2OPeGyYjODwNZbG2guFB,https://m.media-amazon.com/images/I/41agIgdQ4QL._AC_SY164_.jpg,Shopping
35,Female,Mother,Birthday,100,2000,Lifestyle Online E-Gift Card - Flat 6% off - Redeemable at Website & App,4.1,https://www.amazon.in/dp/B08YPDPZFB/ref=cm_gf_aaac_d_p0_e0_qd2_cIPb6PKnS6c605MBogao,https://m.media-amazon.com/images/I/41KmQqrWOcL._AC_SY164_.jpg,Shopping
25,Female,For Her,Anniversery,500,1000,Starbucks eGift Card - Starbucks,4,https://www.amazon.in/dp/B07MHP436J/ref=cm_gf_aaac_d_p0_e0_qd2_oaiSzdaz8FFyWHaPKJWz,https://m.media-amazon.com/images/I/41sos958gHL._AC_SY164_.jpg,Food
30,Female,Daughter,Birthday,100,3000,Max Online E-Gift Card - Flat 9% off - Redeemable on Max website and App,4,https://www.amazon.in/dp/B08YPV1HCY/ref=cm_gf_aaac_d_p0_e0_qd2_uLfSz3lRiIEd0NypX0r8,https://m.media-amazon.com/images/I/41x80lfH-cL._AC_SY164_.jpg,Fashion
32,Male,Colleague,Birthday,250,500,FOLA Cabs E-Gift Card,2.6,https://www.amazon.in/dp/B081K4BL6M/ref=cm_gf_aaac_d_p0_e0_qd3_BeBonl9qkmuznAC6rna1,https://m.media-amazon.com/images/I/41g2BU3XOIL._AC_SY164_.jpg,Travel
29,Female,Boss,Birthday,500,5000,Croma E-Gift Card,4,https://www.amazon.in/dp/B01LTHN66M/ref=cm_gf_aaac_d_p0_e0_qd3_ndXhEBihdzxSE7tOydBg,https://m.media-amazon.com/images/I/51jV1v9CPeL._AC_SY164_.jpg,Technology
35,Male,Son,Diwali,100,1000,KFC E-Gift Card - Flat 5% off - Redeemable in Stores,4,https://www.amazon.in/dp/B07D922B5V/ref=cm_gf_aaac_d_p0_e0_qd3_OgFzCRQ2HNtnpHUU1pJ9,https://m.media-amazon.com/images/I/51m2rh2BZPL._AC_SY164_.jpg,Food
59,Male,Father,Father's Day,250,1000,FApollo Pharmacy E-Gift Card,2.5,https://www.amazon.in/dp/B084HZ95VC/ref=cm_gf_aaac_d_p0_e0_qd3_6l3cwqED0llbwOwo28ei,https://m.media-amazon.com/images/I/41pyyI177rL._AC_SY164_.jpg,Health
26,Male,For Him,Diwali,301,500,Smule Flat 20% off at checkout E-Gift Card,3,https://www.amazon.in/dp/B08QWP2B27/ref=cm_gf_aaac_d_p0_e0_qd3_guJqCn4yQsHKJZ04L6fc,https://m.media-amazon.com/images/I/51VcxonkGvL._AC_SY164_.jpg,Music
47,Female,Mother,Christmas,100,2000,SPAR Hypermarket - Digital Voucher,3.8,https://www.amazon.in/dp/B07D7SP4SQ/ref=cm_gf_aaac_d_p0_e0_qd3_7FxdxYfPJ1V9v4QplD7r,https://m.media-amazon.com/images/I/51bY0suZ7qL._AC_SY164_.jpg,Shopping
22,Male,Son,Christmas,500,10000,Barbeque Nation E-Gift Card - Flat 4% off - Redeemable online,4.3,https://www.amazon.in/dp/B07Q1RMM8T/ref=cm_gf_aaac_d_p0_e0_qd3_D4AVLg6VIAbBMoRMDeFd,https://m.media-amazon.com/images/I/51kzJYgRlRL._AC_SY164_.jpg,Food
48,Female,Mother,Birthday,250,10000,Taneira - Digital Voucher,4.2,https://www.amazon.in/dp/B07D7VDN53/ref=cm_gf_aaac_d_p0_e0_qd3_NcV2gN0u8XMENgFSjCrn,https://m.media-amazon.com/images/I/51m+I6HIyLL._AC_SY164_.jpg,Fashion
53,Male,Father,Birthday,250,2000,Hush Puppies E-Gift Card - Flat 8% Off - Redeemable in Stores,4.5,https://www.amazon.in/dp/B07PMKVH3J/ref=cm_gf_aaac_d_p0_e0_qd3_eBUtxNCFIL1DBCIutMiF,https://m.media-amazon.com/images/I/41mf0S0LrJL._AC_SY164_.jpg,Fashion
24,Male,For Him,Christmas,100,1000,PVR Cinemas E-Gift Card - Flat 6% off - Redeemable on website and on App,4.1,https://www.amazon.in/dp/B081JRQZJ8/ref=cm_gf_aaac_d_p0_e0_qd3_JnaGMYaFxYuJAmOIOCVQ,https://m.media-amazon.com/images/I/51btFW2dkDL._AC_SY164_.jpg,Movies
44,Female,Wife,Anniversery,500,10000,Fabindia - Flat 6% off - Redeemable at Outlets,4.2,https://www.amazon.in/dp/B01BF2KRM2/ref=cm_gf_aaac_d_p0_e0_qd3_rTw7fx4YrKkGpO4Ab8YP,https://m.media-amazon.com/images/I/51u7zDdDk1L._AC_SY164_.jpg,Fashion
49,Female,Boss,Diwali,500,5000,Reliance Digital - E-Gift Card - Flat 1% Off - Redeemable in Stores,4.3,https://www.amazon.in/dp/B0B1LNM7B4/ref=cm_gf_aaac_d_p0_e0_qd3_MCDBl0u2Kuofo7YZQvRp,https://m.media-amazon.com/images/I/51T-Qrj4LIL._AC_SY164_.jpg,Technology
30,Female,Sister,Raksha Bandan,100,10000,EatSure Flat 7% off at checkout E-Gift Card,4.2,https://www.amazon.in/dp/B0B2PH7KQK/ref=cm_gf_aaac_d_p0_e0_qd3_FIbjGRDOyptj4FQmlPzv,https://m.media-amazon.com/images/I/411Pf8F8cLL._AC_SY164_.jpg,Food
28,Female,For Her,New year,500,5000,More E-Gift Card - Redeemable on stores,3.2,https://www.amazon.in/dp/B082MKCBW5/ref=cm_gf_aaac_d_p0_e0_qd4_AcffpMjY1nMYZz9sUMEW,https://m.media-amazon.com/images/I/51VAKEa7s9S._AC_SY164_.jpg,Shopping
32,Male,Brother,Birthday,500,10000,Titan Eyeplus E-gift card - Redeemable at Stores,4.2,https://www.amazon.in/dp/B07F1X8J69/ref=cm_gf_aaac_d_p0_e0_qd4_N0gTShclwAMU7mhukTWZ,https://m.media-amazon.com/images/I/41eY8KaYPrL._AC_SY164_.jpg,Technology
26,Female,Daughter,Diwali,500,5000,Reliance Smart Point - E-Gift Card - Flat 1% Off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B0B1MQ4FLW/ref=cm_gf_aaac_d_p0_e0_qd4_6qQOcYMPMF24rcOuvbRJ,https://m.media-amazon.com/images/I/4113TslzaUL._AC_SY164_.jpg,Technology
32,Male,Friend,Friendship day,250,10000,Zomato E-Gift Card - Redeemable online - Flat 9% cash back upto INR.900,3.866666667,https://www.amazon.in/dp/B0BLGPWKYS/ref=cm_gf_aaac_d_p0_e0_qd4_jRnBdEjrqfSLsRYSuWNU,https://m.media-amazon.com/images/I/410L7NsEJ3L._AC_SY164_.jpg,Food
25,Male,Friend,Friendship day,500,2000,Dominos E-Gift Card - Flat 11% off - Redeemable Online,3.866666667,https://www.amazon.in/dp/B073ZGTVLP/ref=cm_gf_aaac_d_p0_e0_qd4_m1JP85a00g210JJCgLvu,https://m.media-amazon.com/images/I/41s4hH3BwLL._AC_SY164_.jpg,Food
23,Female,Friend,Friendship day,250,3000,Reliance Jewels - E-Gift Card - Flat 1% Off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B0B1MPL6MN/ref=cm_gf_aaac_d_p0_e0_qd4_tFOUAWFgtoU4ZFkt8pMY,https://m.media-amazon.com/images/I/41MkCjBknbL._AC_SY164_.jpg,Fashion
56,Female,Mother,Diwali,500,1000,Netmeds Flat 10% off at checkout E-Gift Card,3.866666667,https://www.amazon.in/dp/B09XXK9N3Y/ref=cm_gf_aaac_d_p0_e0_qd4_p0v5pBim3SSEWOjsRbqQ,https://m.media-amazon.com/images/I/418lbXRqPrL._AC_SY164_.jpg,Food
29,Female,Friend,Friendship day,250,5000,FSonyLIV 1 Month E-Gift Card,3.866666667,https://www.amazon.in/dp/B09N7LCFQH/ref=cm_gf_aaac_d_p0_e0_qd4_amQxNRXZUWj7MbCsPAWa,https://m.media-amazon.com/images/I/41Y6wOt6sHL._AC_SY164_.jpg,Movies
50,Male,Boss,Diwali,250,2000,Raymond E-Gift Card - Flat 7% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B01LTHNNBA/ref=cm_gf_aaac_d_p0_e0_qd4_mUVzmCcaw31w1fS1mRUB,https://m.media-amazon.com/images/I/41ZptLKvaUL._AC_SY164_.jpg,Fashion
22,Male,Friend,Birthday,500,5000,Jockey E-Gift Card - Flat 11% off - Redeemable on website,3.866666667,https://www.amazon.in/dp/B085FKZYXW/ref=cm_gf_aaac_d_p0_e0_qd4_VseF6eR6BauyO22jVoh4,https://m.media-amazon.com/images/I/41N2DyEOKeL._AC_SY164_.jpg,Fashion
26,Male,For Him,Birthday,1000,10000,FHamleys Luxe E-Gift Card,3.866666667,https://www.amazon.in/dp/B09T6Z3WPB/ref=cm_gf_aaac_d_p0_e0_qd4_RrsCS7J9rmhOv3RPWSNy,https://m.media-amazon.com/images/I/417hv09n-GL._AC_SY164_.jpg,Fashion
44,Female,Colleague,New year,250,1500,McDonalds E-Gift Card - Flat 10% off - Redeemable Offline,3.866666667,https://www.amazon.in/dp/B09BWF7YP4/ref=cm_gf_aaac_d_p0_e0_qd4_nNmPhaJmbMyMoxGUUiF2,https://m.media-amazon.com/images/I/41gQjIjAecL._AC_SY164_.jpg,Food
50,Female,Wife,Christmas,100,2000,Home Centre Online Flat 6% off at checkout E-Gift Card,3.866666667,https://www.amazon.in/dp/B091CQW3PM/ref=cm_gf_aaac_d_p0_e0_qd4_cxYP6wtUan2A6L6nCLUG,https://m.media-amazon.com/images/I/41MUOAp93tL._AC_SY164_.jpg,Fashion
27,Female,Sister,Raksha Bandan,1000,2000,Jack & Jones E-Gift Card - Flat 10% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B01F523JQY/ref=cm_gf_aaac_d_p0_e0_qd4_NYT9Jq1Bq7xSxxYBnI90,https://m.media-amazon.com/images/I/51NV8-bXvkL._AC_SY164_.jpg,Fashion
24,Female,For Her,New year,500,10000,GIVA E-Gift Card,3.866666667,https://www.amazon.in/dp/B09MVCVN25/ref=cm_gf_aaac_d_p0_e0_qd5_jWiUtMvYel7Hmu4JeeSp,https://m.media-amazon.com/images/I/319qeXBt0gL._AC_SY164_.jpg,Fashion
22,Female,For Her,Anniversery,500,2000,Titan E-Gift Card - Flat 8% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B01702S3AO/ref=cm_gf_aaac_d_p0_e0_qd5_bFMOqJCNbfz7agmotDz8,https://m.media-amazon.com/images/I/41JGL-qxSpL._AC_SY164_.jpg,Fashion
39,Male,Colleague,Christmas,100,5000,PVR Cinemas - Flat 3% off - Redeemable Online,3.866666667,https://www.amazon.in/dp/B01702S4OO/ref=cm_gf_aaac_d_p0_e0_qd5_wzxb3qJLugMv1SmGDBPb,https://m.media-amazon.com/images/I/41makomke3L._AC_SY164_.jpg,Movies
32,Male,Son,New year,250,1000,Skechers E-Gift Card,3.866666667,https://www.amazon.in/dp/B097BWGKTQ/ref=cm_gf_aaac_d_p0_e0_qd5_2OETQz8UplVSFh6DSgSm,https://m.media-amazon.com/images/I/41bVrFJJv3S._AC_SY164_.jpg,Fashion
33,Male,Son,Birthday,250,5000,Reliance Trends Footwear - E-Gift Card - Flat 10% Off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B0B1MXN5MN/ref=cm_gf_aaac_d_p0_e0_qd5_WMsb8N1g7LnWuG7BIFBr,https://m.media-amazon.com/images/I/4142iAYClZL._AC_SY164_.jpg,Fashion
22,Male,Husband,New year,250,2000,FUnited Colors of Benetton E-Gift Card,3.866666667,https://www.amazon.in/dp/B01F51ZZB2/ref=cm_gf_aaac_d_p0_e0_qd5_GLpJaOz9lbKTZLgjRIG8,https://m.media-amazon.com/images/I/51kcF+wAQgL._AC_SY164_.jpg,Fashion
35,Female,Wife,Christmas,250,10000,MyGlamm E-Gift Card- Flat 14% off - Redeemable Online,3.866666667,https://www.amazon.in/dp/B09MVBCQMD/ref=cm_gf_aaac_d_p0_e0_qd5_DV952Y7Aalg7VJGhnjW7,https://m.media-amazon.com/images/I/41dLylGyozL._AC_SY164_.jpg,Fashion
26,Female,Daughter,Birthday,100,10000,LuLu Hypermarket E-Gift Card,3.866666667,https://www.amazon.in/dp/B08BVBQHF5/ref=cm_gf_aaac_d_p0_e0_qd5_2mDybQk8ycqRdDnJFxtW,https://m.media-amazon.com/images/I/411PfA-G4EL._AC_SY164_.jpg,Shopping
49,Male,Father,Father's Day,500,2000,Woodland E-Gift Card,3.866666667,https://www.amazon.in/dp/B078MMF8GB/ref=cm_gf_aaac_d_p0_e0_qd5_MVw7AGUHnWeChXYexKPt,https://m.media-amazon.com/images/I/511QnODhbEL._AC_SY164_.jpg,Sports
48,Male,Husband,Anniversery,500,2000,Fastrack E-Gift Card - Flat 8% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B07V38M7FZ/ref=cm_gf_aaac_d_p0_e0_qd5_vHuBbrp27oicurTajeq5,https://m.media-amazon.com/images/I/410e8DvxfQL._AC_SY164_.jpg,Fashion
23,Female,For Her,Friendship day,100,1000,Baskin Robbins E-Gift Card - Flat 12% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B01F52DMBQ/ref=cm_gf_aaac_d_p0_e0_qd5_0ikLM2fpngQtxzcZ8GxX,https://m.media-amazon.com/images/I/51MsFa8jLHL._AC_SY164_.jpg,Food
40,Male,Husband,Birthday,500,10000,Allen Solly - Digital Voucher,3.866666667,https://www.amazon.in/dp/B01702S1I8/ref=cm_gf_aaac_d_p0_e0_qd5_c7mWyDMobv9isrrk0jrk,https://m.media-amazon.com/images/I/51oSWFh1qmL._AC_SY164_.jpg,Fashion
25,Male,Son,New year,500,10000,Peter England - Digital Voucher,3.866666667,https://www.amazon.in/dp/B01702RZYE/ref=cm_gf_aaac_d_p0_e0_qd5_93QJsXZGo0DiDH3SEe7z,https://m.media-amazon.com/images/I/417JFpPVT3L._AC_SY164_.jpg,Fashion
38,Female,Boss,New year,250,2000,Veromoda E-Gift Card - Flat 10% off - Redeemable in Stores,3.866666667,https://www.amazon.in/dp/B01F525EJO/ref=cm_gf_aaac_d_p0_e0_qd6_R3QOqTLadkfjRDoEe3XS,https://m.media-amazon.com/images/I/51EZ4y-NC5L._AC_SY164_.jpg,Fashion
22,Female,For Her,Christmas,399,5000,Gaana 12 Months Subscription E-Gift Card,3.866666667,https://www.amazon.in/dp/B09GSBT3MW/ref=cm_gf_aaac_d_p0_e0_qd6_r86DOQixpacsgDebOpix,https://m.media-amazon.com/images/I/41n-SSZlrXL._AC_SY164_.jpg,Music
26,Male,Son,Diwali,500,5000,Levis E-Gift Card,3.866666667,https://www.amazon.in/dp/B017RAFTA6/ref=cm_gf_aaac_d_p0_e0_qd6_1BxHtBKGsTKUCdJua6sC,https://m.media-amazon.com/images/I/51EBFFUUYWL._AC_SY164_.jpg,Fashion
41,Male,Colleague,New year,100,10000,FShemarooMe 1 Month Subscription E-Gift Card,3.866666667,https://www.amazon.in/dp/B09H33YXLH/ref=cm_gf_aaac_d_p0_e0_qd6_np5powodBydUmfzQi9dw,https://m.media-amazon.com/images/I/41V+CTWtEqL._AC_SY164_.jpg,Movies
22,Male,Friend,Birthday,500,5000,American Eagle E-Gift Card,3.866666667,https://www.amazon.in/dp/B08JZN2K91/ref=cm_gf_aaac_d_p0_e0_qd6_sznoeRDdKRB1OOE6d4DR,https://m.media-amazon.com/images/I/516qPxc1qeL._AC_SY164_.jpg,Fashion
25,Female,Sister,Raksha Bandan,500,1000,Westside E-Gift Card,3.866666667,https://www.amazon.in/dp/B07RJWYP1X/ref=cm_gf_aaac_d_p0_e0_qd6_OLd5LsXAhtX2LUZW8rOo,https://m.media-amazon.com/images/I/41fId6BZFoL._AC_SY164_.jpg,Shopping
44,Female,Boss,New year,500,5000,ENRICH Flat 6% off at checkout E-Gift Card,3.866666667,https://www.amazon.in/dp/B01A577QWC/ref=cm_gf_aaac_d_p0_e0_qd6_uFRuHRwDA8TQu1nQbMDj,https://m.media-amazon.com/images/I/31Zy7pxOFbL._AC_SY164_.jpg,Food
